dataset,num_edges,num_nodes,num_rels,num_train,num_test,max_order,num_feats,num_focus_nodes,num_run,time_total,acc,macro_f1,micro_f1
AIFB,58086,8285,90,126,36,4,10000,2027,0,34.435418367385864,0.9166666666666666,0.8772727272727272,0.9166666666666666
AIFB,58086,8285,90,126,36,4,10000,2027,1,52.32631278038025,0.9166666666666666,0.8772727272727272,0.9166666666666666
AIFB,58086,8285,90,126,36,4,10000,2027,2,56.350927114486694,0.9166666666666666,0.8841397849462366,0.9166666666666666
AIFB,58086,8285,90,126,36,4,10000,2027,3,75.12424445152283,0.9444444444444444,0.9116477272727272,0.9444444444444444
AIFB,58086,8285,90,126,36,4,10000,2027,4,78.4058039188385,0.8611111111111112,0.8415584415584416,0.8611111111111112
MUTAG,148454,23644,46,244,68,4,10000,22375,0,117.55363702774048,0.8970588235294118,0.8883415435139573,0.8970588235294118
MUTAG,148454,23644,46,244,68,4,10000,22375,1,123.64986538887024,0.9264705882352942,0.9202439596528267,0.9264705882352942
MUTAG,148454,23644,46,244,68,4,10000,22375,2,128.64952564239502,0.9264705882352942,0.9187186229978485,0.9264705882352942
MUTAG,148454,23644,46,244,68,4,10000,22375,3,136.0701720714569,0.9264705882352942,0.9187186229978485,0.9264705882352942
MUTAG,148454,23644,46,244,68,4,10000,22375,4,144.52284479141235,0.8970588235294118,0.8862060721969878,0.8970588235294118
BGS,1832398,333845,206,105,29,2,1750,1347,0,3.6000051498413086,0.8620689655172413,0.8535353535353536,0.8620689655172413
BGS,1832398,333845,206,105,29,2,1750,1347,1,6.523794889450073,1.0,1.0,1.0
BGS,1832398,333845,206,105,29,2,1750,1347,2,9.214048862457275,0.8620689655172413,0.8473684210526317,0.8620689655172413
BGS,1832398,333845,206,105,29,2,1750,1347,3,16.93540096282959,0.896551724137931,0.882591093117409,0.896551724137931
BGS,1832398,333845,206,105,29,2,1750,1347,4,19.466824054718018,0.896551724137931,0.888030888030888,0.896551724137931
AM,11976642,1666764,266,721,198,2,10000,18176,0,36.09595489501953,0.9393939393939394,0.9304108729328671,0.9393939393939394
AM,11976642,1666764,266,721,198,2,10000,18176,1,45.9314444065094,0.9191919191919192,0.9181040315178827,0.9191919191919192
AM,11976642,1666764,266,721,198,2,10000,18176,2,67.67250156402588,0.9242424242424242,0.9184454322927611,0.9242424242424242
AM,11976642,1666764,266,721,198,2,10000,18176,3,77.29518461227417,0.9191919191919192,0.9137016139237658,0.9191919191919192
AM,11976642,1666764,266,721,198,2,10000,18176,4,89.66297483444214,0.9343434343434344,0.9282011136967578,0.9343434343434344
